"","B.Cell","CD4_T","CD8_T","DC","Endothelial_cells","Epithelial_cells","Fibroblast","Hepatocytes","M1","M2","Macrophage_Other","Malignant","Monocyte","Neurons","Neutrophils","NK.Cell","Smooth_muscle_cells","Tcell_Other"
"Lin_2020_MET01",0,0,0,0,0,0,0,0,0,0.015,0.01,0.93,0.035,0,0,0,0,0.01
"Lin_2020_MET02",0.00272108843537415,0.00136054421768707,0,0,0,0.00408163265306122,0,0,0,0.00408163265306122,0,0.964625850340136,0.019047619047619,0,0,0.00272108843537415,0,0.00136054421768707
"Lin_2020_MET04",0.0121457489878543,0.0647773279352227,0.0242914979757085,0,0,0.00404858299595142,0,0,0,0.0526315789473684,0.0728744939271255,0.376518218623482,0.238866396761134,0,0.0161943319838057,0.097165991902834,0,0.0404858299595142
"Lin_2020_MET05",0.00114810562571757,0.000382701875239189,0.00229621125143513,0.00114810562571757,0.000382701875239189,0.153080750095675,0,0,0.00114810562571757,0.00995024875621891,0.0068886337543054,0.515882127822426,0.020283199387677,0,0.0149253731343284,0.174894756984309,0,0.0975889781859931
"Lin_2020_MET06",0.000814000814000814,0.00284900284900285,0.0142450142450142,0.000407000407000407,0.000407000407000407,0.162800162800163,0,0.000407000407000407,0.00325600325600326,0.00284900284900285,0.00773300773300773,0.746031746031746,0.0207570207570208,0,0.00244200244200244,0.0211640211640212,0,0.0138380138380138
"Lin_2020_P01",0.0231660231660232,0.0637065637065637,0.0115830115830116,0.00193050193050193,0.237451737451737,0.0868725868725869,0,0.00193050193050193,0,0,0.00193050193050193,0.274131274131274,0.0212355212355212,0.00193050193050193,0.0154440154440154,0.115830115830116,0.0193050193050193,0.123552123552124
"Lin_2020_P03",0,0,0,0,0.111111111111111,0.113289760348584,0.00217864923747277,0.00217864923747277,0,0.00217864923747277,0.00435729847494553,0.710239651416122,0.0196078431372549,0,0,0.0196078431372549,0.00435729847494553,0.0108932461873638
"Lin_2020_P04",0.01171875,0.009765625,0.1875,0,0.009765625,0.056640625,0.005859375,0,0,0,0.005859375,0.24609375,0,0.0078125,0.025390625,0.306640625,0.001953125,0.125
"Lin_2020_P06",0.0202839756592292,0.00202839756592292,0,0.00608519269776876,0.0405679513184584,0.237322515212982,0.0567951318458418,0.00202839756592292,0.0121703853955375,0.00405679513184584,0.026369168356998,0.438133874239351,0.0527383367139959,0.00202839756592292,0.00405679513184584,0,0.0912778904665314,0.00405679513184584
"Lin_2020_P07",0.0161290322580645,0.0516129032258065,0.0118279569892473,0.00645161290322581,0.0118279569892473,0.0720430107526882,0.0161290322580645,0.0032258064516129,0.102150537634409,0.0688172043010753,0.211827956989247,0.12258064516129,0.245161290322581,0,0,0.0172043010752688,0.0118279569892473,0.0311827956989247
"Lin_2020_P08",0.00733496332518337,0,0,0.00488997555012225,0.0305623471882641,0.530562347188264,0.0330073349633252,0,0.00733496332518337,0.0183374083129584,0.019559902200489,0.215158924205379,0.0770171149144254,0.00366748166259169,0,0.00611246943765281,0.039119804400978,0.00733496332518337
"Lin_2020_P09",0,0.00208333333333333,0,0.00625,0.0416666666666667,0.160416666666667,0.0458333333333333,0.00416666666666667,0.0208333333333333,0.075,0.0875,0.216666666666667,0.295833333333333,0,0.00833333333333333,0.0125,0.0125,0.0104166666666667
"Lin_2020_P10",0.000998003992015968,0.000998003992015968,0,0.000998003992015968,0,0.430139720558882,0.0159680638722555,0,0.00798403193612774,0.0109780439121756,0.0199600798403194,0.407185628742515,0.0459081836327345,0,0.0159680638722555,0.0269461077844311,0.00698602794411178,0.00898203592814371
"Steele_2020_PDAC_TISSUE_10",0.0321951219512195,0.104390243902439,0.0741463414634146,0.00682926829268293,0.00390243902439024,0.0380487804878049,0,0.00195121951219512,0.064390243902439,0.00585365853658537,0.0175609756097561,0.0614634146341463,0.248780487804878,0,0.0439024390243902,0.198048780487805,0,0.0985365853658537
"Steele_2020_PDAC_TISSUE_11A",0.00786885245901639,0.00786885245901639,0.0019672131147541,0.0780327868852459,0.0124590163934426,0.141639344262295,0,0.0019672131147541,0.0537704918032787,0.0242622950819672,0.059016393442623,0.493114754098361,0.0898360655737705,0,0.0019672131147541,0.020327868852459,0,0.0059016393442623
"Steele_2020_PDAC_TISSUE_11B",0.00735294117647059,0.123161764705882,0.00551470588235294,0.00919117647058824,0.00551470588235294,0.0395220588235294,0,0,0.0128676470588235,0.00643382352941176,0.0229779411764706,0.479779411764706,0.210477941176471,0,0.00367647058823529,0.0588235294117647,0,0.0147058823529412
"Steele_2020_PDAC_TISSUE_13",0.00345940959409594,0.036669741697417,0.0101476014760148,0.0142988929889299,0.000461254612546125,0.13030442804428,0.000691881918819188,0.000461254612546125,0.0544280442804428,0.0629612546125461,0.101245387453875,0.412592250922509,0.0498154981549815,0,0.0136070110701107,0.077260147601476,0.000230627306273063,0.0313653136531365
"Steele_2020_PDAC_TISSUE_15",0.0185185185185185,0.144880174291939,0.0245098039215686,0.0174291938997821,0.00272331154684096,0.117102396514161,0.00435729847494553,0.00381263616557734,0.0217864923747277,0.0310457516339869,0.0713507625272331,0.0533769063180828,0.235294117647059,0,0,0.198257080610022,0.00217864923747277,0.0533769063180828
"Steele_2020_PDAC_TISSUE_16",0.00561009817671809,0.00841514726507714,0.00561009817671809,0.00280504908835905,0.00140252454417952,0.0266479663394109,0,0,0.00280504908835905,0.0112201963534362,0.00841514726507714,0.845722300140252,0.0140252454417952,0,0,0.0350631136044881,0,0.032258064516129
"Steele_2020_PDAC_TISSUE_2",0.00387096774193548,0.0148387096774194,0.0032258064516129,0.00193548387096774,0.00645161290322581,0.332258064516129,0.00129032258064516,0.0032258064516129,0.012258064516129,0.0419354838709677,0.0580645161290323,0.379354838709677,0.052258064516129,0,0.000645161290322581,0.0761290322580645,0.00129032258064516,0.0109677419354839
"Steele_2020_PDAC_TISSUE_3",0.0800794176042356,0.217074784910655,0.0489741892786234,0.00727994705493051,0.00198544010589014,0.0297816015883521,0.000661813368630046,0,0.00661813368630046,0.000661813368630046,0.00132362673726009,0.180675049636003,0.113170086035738,0,0,0.192587690271343,0.000661813368630046,0.118464592984778
"Steele_2020_PDAC_TISSUE_6",0.203125,0.114375,0.023125,0.00625,0.001875,0.0525,0.00125,0.00125,0.013125,0.0025,0.019375,0.214375,0.04125,0,0.00125,0.23875,0.000625,0.065
"T1",0.000966183574879227,0.00772946859903382,0.00483091787439614,0.00483091787439614,0.178743961352657,0.430917874396135,0.00676328502415459,0.0135265700483092,0.00193236714975845,0.0183574879227053,0.0193236714975845,0.021256038647343,0.0811594202898551,0.000966183574879227,0.0531400966183575,0.0888888888888889,0.0531400966183575,0.0135265700483092
"T11",0.00155199172271081,0.0108639420589757,0.0041386445938955,0.0139679255043973,0.0393171236420072,0.240558717020176,0.150025866528712,0.0310398344542162,0.0279358510087946,0.0315571650284532,0.0869115364718055,0.0941541645111226,0.0863942058975685,0.00155199172271081,0.0041386445938955,0.0434557682359027,0.124159337816865,0.008277289187791
